Step 7/300: V_g=-0.183946: 14 iterations, reldev=0.260664, converged!
Step 8/300: V_g=-0.181271: 14 iterations, reldev=0.25669, converged!
Step 9/300: V_g=-0.178595: 13 iterations, reldev=0.958484, converged!
Step 10/300: V_g=-0.17592: 13 iterations, reldev=0.779661, converged!
Step 11/300: V_g=-0.173244: 14 iterations, reldev=0.263246, converged!
Step 12/300: V_g=-0.170569: 13 iterations, reldev=0.560833, converged!
Step 13/300: V_g=-0.167893: 13 iterations, reldev=0.909786, converged!
Step 14/300: V_g=-0.165217: 13 iterations, reldev=0.828847, converged!
Step 15/300: V_g=-0.162542: 13 iterations, reldev=0.539697, converged!
Step 16/300: V_g=-0.159866: 13 iterations, reldev=0.629887, converged!
Step 17/300: V_g=-0.157191: 13 iterations, reldev=0.929707, converged!
Step 18/300: V_g=-0.154515: 13 iterations, reldev=0.903588, converged!
Step 19/300: V_g=-0.151839: 14 iterations, reldev=0.301449, converged!
Step 20/300: V_g=-0.149164: 13 iterations, reldev=0.716553, converged!
Step 21/300: V_g=-0.146488: 13 iterations, reldev=0.884096, converged!
Step 22/300: V_g=-0.143813: 14 iterations, reldev=0.259728, converged!
Step 23/300: V_g=-0.141137: 13 iterations, reldev=0.967244, converged!
Step 24/300: V_g=-0.138462: 13 iterations, reldev=0.924786, converged!
Step 25/300: V_g=-0.135786: 13 iterations, reldev=0.876366, converged!
Step 26/300: V_g=-0.13311: 14 iterations, reldev=0.2304, converged!
Step 27/300: V_g=-0.130435: 13 iterations, reldev=0.919115, converged!
Step 28/300: V_g=-0.127759: 13 iterations, reldev=0.904602, converged!
Step 29/300: V_g=-0.125084: 13 iterations, reldev=0.97657, converged!
Step 30/300: V_g=-0.122408: 13 iterations, reldev=0.869945, converged!
Step 31/300: V_g=-0.119732: 13 iterations, reldev=0.919282, converged!
Step 32/300: V_g=-0.117057: 13 iterations, reldev=0.825501, converged!
Step 33/300: V_g=-0.114381: 13 iterations, reldev=0.834339, converged!
Step 34/300: V_g=-0.111706: 13 iterations, reldev=0.836433, converged!
Step 35/300: V_g=-0.10903: 13 iterations, reldev=0.955878, converged!
Step 36/300: V_g=-0.106355: 13 iterations, reldev=0.827333, converged!
Step 37/300: V_g=-0.103679: 13 iterations, reldev=0.920512, converged!
Step 38/300: V_g=-0.101003: 13 iterations, reldev=0.941656, converged!
Step 39/300: V_g=-0.0983278: 13 iterations, reldev=0.927246, converged!
Step 40/300: V_g=-0.0956522: 13 iterations, reldev=0.875232, converged!
Step 41/300: V_g=-0.0929766: 13 iterations, reldev=0.856565, converged!
Step 42/300: V_g=-0.090301: 13 iterations, reldev=0.79489, converged!
Step 43/300: V_g=-0.0876254: 13 iterations, reldev=0.792276, converged!
Step 44/300: V_g=-0.0849498: 13 iterations, reldev=0.84174, converged!
Step 45/300: V_g=-0.0822742: 13 iterations, reldev=0.805189, converged!
